time,event,epoch,global_step,loss,grad_norm,learning_rate,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T21:52:30+09:00,log,0.3305785123966942,20,4.1928459167480465,2.972128391265869,0.0005,,,,,,,,,,,,,
2026-08-07T21:52:40+09:00,log,0.6611570247933884,40,3.7910484313964843,3.454677104949951,0.00046503496503496505,,,,,,,,,,,,,
2026-08-07T21:52:49+09:00,log,0.9917355371900827,60,2.6343416213989257,17.67804527282715,0.0004300699300699301,,,,,,,,,,,,,
2026-08-07T21:52:51+09:00,log,1.0,61,,,,0.5779157876968384,0.7706611570247934,0.7407025497682028,0.7319917149178553,0.7558823529411764,1.6331,296.369,9.797,,,,,
2026-08-07T21:52:51+09:00,checkpoint,1.0,61,,,,,,,,,,,,,,,,
2026-08-07T21:53:01+09:00,log,1.3140495867768596,80,2.1872585296630858,9.343892097473145,0.0003951048951048951,,,,,,,,,,,,,
2026-08-07T21:53:10+09:00,log,1.6446280991735538,100,1.7811264038085937,10.451810836791992,0.00036013986013986015,,,,,,,,,,,,,
2026-08-07T21:53:20+09:00,log,1.9752066115702478,120,1.6226652145385743,12.951079368591309,0.0003251748251748252,,,,,,,,,,,,,
2026-08-07T21:53:22+09:00,log,2.0,122,,,,0.4536646902561188,0.7830578512396694,0.7584685730532844,0.7390241055311798,0.8021514161220044,1.4737,328.419,10.857,,,,,
2026-08-07T21:53:22+09:00,checkpoint,2.0,122,,,,,,,,,,,,,,,,
2026-08-07T21:53:31+09:00,log,2.2975206611570247,140,1.4851428985595703,8.684019088745117,0.0002902097902097902,,,,,,,,,,,,,
2026-08-07T21:53:41+09:00,log,2.628099173553719,160,1.6207048416137695,9.575037002563477,0.00025524475524475526,,,,,,,,,,,,,
2026-08-07T21:53:50+09:00,log,2.958677685950413,180,1.3826776504516602,5.629805564880371,0.0002202797202797203,,,,,,,,,,,,,
2026-08-07T21:53:53+09:00,log,3.0,183,,,,0.39501509070396423,0.8057851239669421,0.8027070668606893,0.7751182105024474,0.8495506535947713,1.5348,315.345,10.425,,,,,
2026-08-07T21:53:54+09:00,checkpoint,3.0,183,,,,,,,,,,,,,,,,
2026-08-07T21:54:02+09:00,log,3.28099173553719,200,1.4029325485229491,10.632731437683105,0.00018531468531468533,,,,,,,,,,,,,
2026-08-07T21:54:12+09:00,log,3.6115702479338845,220,1.2801472663879394,10.424518585205078,0.00015034965034965033,,,,,,,,,,,,,
2026-08-07T21:54:22+09:00,log,3.9421487603305785,240,1.3752429962158204,7.155999660491943,0.0001153846153846154,,,,,,,,,,,,,
2026-08-07T21:54:25+09:00,log,4.0,244,,,,0.37106209993362427,0.8078512396694215,0.8002304811293576,0.7759868322609607,0.8388071895424837,1.503,322.02,10.645,,,,,
2026-08-07T21:54:25+09:00,checkpoint,4.0,244,,,,,,,,,,,,,,,,
2026-08-07T21:54:33+09:00,log,4.264462809917355,260,1.243623638153076,4.037596702575684,8.041958041958042e-05,,,,,,,,,,,,,
2026-08-07T21:54:43+09:00,log,4.595041322314049,280,1.3060707092285155,11.892965316772461,4.545454545454546e-05,,,,,,,,,,,,,
2026-08-07T21:54:52+09:00,log,4.925619834710744,300,1.245276641845703,6.047783851623535,1.048951048951049e-05,,,,,,,,,,,,,
2026-08-07T21:54:56+09:00,log,5.0,305,,,,0.3756234049797058,0.8285123966942148,0.8175263355922358,0.791092155269509,0.8578839869281046,1.5602,310.214,10.255,,,,,
2026-08-07T21:54:56+09:00,checkpoint,5.0,305,,,,,,,,,,,,,,,,
2026-08-07T21:54:56+09:00,log,5.0,305,,,,,,,,,,,,156.5447,123.671,1.948,583314224808672.0,1.8921224187632075
