time,event,epoch,global_step,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T21:00:43+09:00,log,1.0,16,1.039459466934204,0.6528925619834711,0.37458264021266013,0.39866165432959993,0.4071350762527233,1.3547,357.264,11.81,,,,,,,,
2026-08-07T21:00:43+09:00,checkpoint,1.0,16,,,,,,,,,,,,,,,,
2026-08-07T21:00:45+09:00,log,1.25,20,,,,,,,,,4.269163131713867,7.511924743652344,0.00040666666666666667,,,,,
2026-08-07T21:00:52+09:00,log,2.0,32,0.9271440505981445,0.6694214876033058,0.5341503075127529,0.6459004654493375,0.5180691721132897,1.2555,385.502,12.744,,,,,,,,
2026-08-07T21:00:52+09:00,checkpoint,2.0,32,,,,,,,,,,,,,,,,
2026-08-07T21:00:55+09:00,log,2.5,40,,,,,,,,,3.7988075256347655,4.995450019836426,0.00027333333333333333,,,,,
2026-08-07T21:01:00+09:00,log,3.0,48,0.7214032411575317,0.7231404958677686,0.6791665994176906,0.6844753568891501,0.6943355119825707,1.276,379.297,12.539,,,,,,,,
2026-08-07T21:01:00+09:00,checkpoint,3.0,48,,,,,,,,,,,,,,,,
2026-08-07T21:01:07+09:00,log,3.75,60,,,,,,,,,2.7804861068725586,7.7697319984436035,0.00014000000000000001,,,,,
2026-08-07T21:01:10+09:00,log,4.0,64,0.6569243669509888,0.7148760330578512,0.6688958779248387,0.668501616916981,0.711179193899782,1.303,371.438,12.279,,,,,,,,
2026-08-07T21:01:10+09:00,checkpoint,4.0,64,,,,,,,,,,,,,,,,
2026-08-07T21:01:17+09:00,log,5.0,80,,,,,,,,,2.1265968322753905,6.806023597717285,6.6666666666666675e-06,,,,,
2026-08-07T21:01:19+09:00,log,5.0,80,0.5953590869903564,0.731404958677686,0.7054445382618758,0.6888599753325239,0.7367374727668846,1.2949,373.778,12.356,,,,,,,,
2026-08-07T21:01:19+09:00,checkpoint,5.0,80,,,,,,,,,,,,,,,,
2026-08-07T21:01:19+09:00,log,5.0,80,,,,,,,,,,,,45.7957,111.801,1.747,150846211301184.0,3.2437633991241457
