time,event,epoch,global_step,loss,grad_norm,learning_rate,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T21:28:51+09:00,log,0.39215686274509803,20,5.324618911743164,5.0161638259887695,8.736842105263158e-05,,,,,,,,,,,,,
2026-08-07T21:28:58+09:00,log,0.7843137254901961,40,5.105679321289062,4.269063472747803,6.631578947368421e-05,,,,,,,,,,,,,
2026-08-07T21:29:03+09:00,log,1.0,51,,,,1.2351789474487305,0.42780748663101603,0.149812734082397,0.10695187165775401,0.25,0.9267,403.587,12.949,,,,,
2026-08-07T21:29:03+09:00,checkpoint,1.0,51,,,,,,,,,,,,,,,,
2026-08-07T21:29:06+09:00,log,1.1764705882352942,60,5.0394645690917965,3.615679979324341,4.5263157894736846e-05,,,,,,,,,,,,,
2026-08-07T21:29:13+09:00,log,1.5686274509803921,80,5.039104080200195,4.964836597442627,2.4210526315789474e-05,,,,,,,,,,,,,
2026-08-07T21:29:20+09:00,log,1.9607843137254903,100,4.891469192504883,6.176602840423584,3.1578947368421056e-06,,,,,,,,,,,,,
2026-08-07T21:29:21+09:00,log,2.0,102,,,,1.2185137271881104,0.42780748663101603,0.149812734082397,0.10695187165775401,0.25,0.8263,452.595,14.522,,,,,
2026-08-07T21:29:22+09:00,checkpoint,2.0,102,,,,,,,,,,,,,,,,
2026-08-07T21:29:22+09:00,log,2.0,102,,,,,,,,,,,,37.8385,172.153,2.696,144197725452768.0,5.071244015413172
