time,event,epoch,global_step,loss,grad_norm,learning_rate,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T22:06:14+09:00,log,0.39215686274509803,20,5.435198211669922,2.3580479621887207,0.00029623430962343094,,,,,,,,,,,,,
2026-08-07T22:06:19+09:00,log,0.7843137254901961,40,5.20899543762207,3.751706123352051,0.0002711297071129707,,,,,,,,,,,,,
2026-08-07T22:06:23+09:00,log,1.0,51,,,,1.1389713287353516,0.5133689839572193,0.42787061012082694,0.6629232102053039,0.4610030706508249,0.8581,435.862,13.985,,,,,
2026-08-07T22:06:24+09:00,checkpoint,1.0,51,,,,,,,,,,,,,,,,
2026-08-07T22:06:26+09:00,log,1.1764705882352942,60,4.387290191650391,4.380345821380615,0.00024602510460251044,,,,,,,,,,,,,
2026-08-07T22:06:32+09:00,log,1.5686274509803921,80,3.5601478576660157,12.35728931427002,0.0002209205020920502,,,,,,,,,,,,,
2026-08-07T22:06:37+09:00,log,1.9607843137254903,100,3.0073047637939454,5.677517890930176,0.00019581589958158995,,,,,,,,,,,,,
2026-08-07T22:06:39+09:00,log,2.0,102,,,,0.7715315222740173,0.7058823529411765,0.6462134475693798,0.6470415732275314,0.6477650388459566,0.7699,485.759,15.586,,,,,
2026-08-07T22:06:39+09:00,checkpoint,2.0,102,,,,,,,,,,,,,,,,
2026-08-07T22:06:44+09:00,log,2.3529411764705883,120,2.88861198425293,6.0871782302856445,0.0001707112970711297,,,,,,,,,,,,,
2026-08-07T22:06:49+09:00,log,2.7450980392156863,140,2.5518489837646485,8.02221965789795,0.00014560669456066945,,,,,,,,,,,,,
2026-08-07T22:06:54+09:00,log,3.0,153,,,,0.6685383319854736,0.7486631016042781,0.6957013776780009,0.7064573526190082,0.6898406860717181,0.7703,485.546,15.579,,,,,
2026-08-07T22:06:55+09:00,checkpoint,3.0,153,,,,,,,,,,,,,,,,
2026-08-07T22:06:57+09:00,log,3.1372549019607843,160,2.3080392837524415,9.697646141052246,0.00012050209205020919,,,,,,,,,,,,,
2026-08-07T22:07:02+09:00,log,3.5294117647058822,180,2.4746910095214845,6.540119647979736,9.539748953974894e-05,,,,,,,,,,,,,
2026-08-07T22:07:07+09:00,log,3.9215686274509802,200,2.4133914947509765,4.713101863861084,7.02928870292887e-05,,,,,,,,,,,,,
2026-08-07T22:07:09+09:00,log,4.0,204,,,,0.6367850303649902,0.7566844919786097,0.6998107600551509,0.6951315830247264,0.70969300214294,0.7764,481.685,15.455,,,,,
2026-08-07T22:07:10+09:00,checkpoint,4.0,204,,,,,,,,,,,,,,,,
2026-08-07T22:07:14+09:00,log,4.313725490196078,220,2.277882194519043,9.7625093460083,4.518828451882845e-05,,,,,,,,,,,,,
2026-08-07T22:07:20+09:00,log,4.705882352941177,240,2.2805131912231444,7.022970676422119,2.0083682008368197e-05,,,,,,,,,,,,,
2026-08-07T22:07:24+09:00,log,5.0,255,,,,0.6302130222320557,0.7566844919786097,0.7032874728104783,0.6960691055920291,0.7191193778855224,0.7639,489.579,15.708,,,,,
2026-08-07T22:07:25+09:00,checkpoint,5.0,255,,,,,,,,,,,,,,,,
2026-08-07T22:07:25+09:00,log,5.0,255,,,,,,,,,,,,77.206,210.929,3.303,335933171064192.0,3.1645455304314107
