time,event,epoch,global_step,loss,grad_norm,learning_rate,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T21:47:36+09:00,log,0.3305785123966942,20,4.260278701782227,5.304013729095459,0.0005,,,,,,,,,,,,,
2026-08-07T21:47:45+09:00,log,0.6611570247933884,40,3.816343307495117,4.414548873901367,0.00046503496503496505,,,,,,,,,,,,,
2026-08-07T21:47:55+09:00,log,0.9917355371900827,60,2.4833465576171876,10.717097282409668,0.0004300699300699301,,,,,,,,,,,,,
2026-08-07T21:47:57+09:00,log,1.0,61,,,,0.5436682105064392,0.756198347107438,0.7320183256715764,0.7133168763603547,0.7754629629629629,1.4928,324.226,10.718,,,,,
2026-08-07T21:47:57+09:00,checkpoint,1.0,61,,,,,,,,,,,,,,,,
2026-08-07T21:48:07+09:00,log,1.3140495867768596,80,1.870381736755371,9.891682624816895,0.0003951048951048951,,,,,,,,,,,,,
2026-08-07T21:48:16+09:00,log,1.6446280991735538,100,1.692164993286133,10.570658683776855,0.00036013986013986015,,,,,,,,,,,,,
2026-08-07T21:48:26+09:00,log,1.9752066115702478,120,1.4989327430725097,8.496960639953613,0.0003251748251748252,,,,,,,,,,,,,
2026-08-07T21:48:28+09:00,log,2.0,122,,,,0.37390467524528503,0.8409090909090909,0.8219436598982609,0.8269061406683557,0.8306781045751633,1.4223,340.301,11.25,,,,,
2026-08-07T21:48:28+09:00,checkpoint,2.0,122,,,,,,,,,,,,,,,,
2026-08-07T21:48:37+09:00,log,2.2975206611570247,140,1.322158145904541,10.875513076782227,0.0002902097902097902,,,,,,,,,,,,,
2026-08-07T21:48:47+09:00,log,2.628099173553719,160,1.4891924858093262,4.45250940322876,0.00025524475524475526,,,,,,,,,,,,,
2026-08-07T21:48:56+09:00,log,2.958677685950413,180,1.303897762298584,4.792367935180664,0.0002202797202797203,,,,,,,,,,,,,
2026-08-07T21:48:59+09:00,log,3.0,183,,,,0.35321417450904846,0.8140495867768595,0.8076763155725516,0.779321873030039,0.8534041394335512,1.4767,327.759,10.835,,,,,
2026-08-07T21:48:59+09:00,checkpoint,3.0,183,,,,,,,,,,,,,,,,
2026-08-07T21:49:07+09:00,log,3.28099173553719,200,1.3367361068725585,5.923294544219971,0.00018531468531468533,,,,,,,,,,,,,
2026-08-07T21:49:17+09:00,log,3.6115702479338845,220,1.2371822357177735,5.439102649688721,0.00015034965034965033,,,,,,,,,,,,,
2026-08-07T21:49:27+09:00,log,3.9421487603305785,240,1.3498503684997558,6.764387607574463,0.0001153846153846154,,,,,,,,,,,,,
2026-08-07T21:49:30+09:00,log,4.0,244,,,,0.3270578384399414,0.8285123966942148,0.8224793453438837,0.8002799209223395,0.8527096949891068,1.4437,335.252,11.083,,,,,
2026-08-07T21:49:31+09:00,checkpoint,4.0,244,,,,,,,,,,,,,,,,
2026-08-07T21:49:39+09:00,log,4.264462809917355,260,1.1951303482055664,5.670058727264404,8.041958041958042e-05,,,,,,,,,,,,,
2026-08-07T21:49:49+09:00,log,4.595041322314049,280,1.2404579162597655,9.586158752441406,4.545454545454546e-05,,,,,,,,,,,,,
2026-08-07T21:49:59+09:00,log,4.925619834710744,300,1.1373420715332032,7.33316707611084,1.048951048951049e-05,,,,,,,,,,,,,
2026-08-07T21:50:02+09:00,log,5.0,305,,,,0.33300307393074036,0.8347107438016529,0.8251315463056054,0.7998945204170104,0.8623910675381263,1.5147,319.545,10.563,,,,,
2026-08-07T21:50:03+09:00,checkpoint,5.0,305,,,,,,,,,,,,,,,,
2026-08-07T21:50:03+09:00,log,5.0,305,,,,,,,,,,,,156.7867,123.48,1.945,583314224808672.0,1.8039155350356806
