time,event,epoch,global_step,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T21:01:34+09:00,log,1.0,16,1.0328364372253418,0.6260330578512396,0.3249210281415071,0.36642682951407785,0.3726851851851852,1.4047,344.561,11.39,,,,,,,,
2026-08-07T21:01:34+09:00,checkpoint,1.0,16,,,,,,,,,,,,,,,,
2026-08-07T21:01:36+09:00,log,1.25,20,,,,,,,,,4.256214141845703,2.6484179496765137,0.00040666666666666667,,,,,
2026-08-07T21:01:43+09:00,log,2.0,32,0.9325364232063293,0.6611570247933884,0.4805142738646575,0.664743509344036,0.46531862745098035,1.2846,376.768,12.455,,,,,,,,
2026-08-07T21:01:43+09:00,checkpoint,2.0,32,,,,,,,,,,,,,,,,
2026-08-07T21:01:47+09:00,log,2.5,40,,,,,,,,,3.7990253448486326,5.387615203857422,0.00027333333333333333,,,,,
2026-08-07T21:01:52+09:00,log,3.0,48,0.769419252872467,0.7293388429752066,0.6858848222484585,0.7034754519244935,0.68150871459695,1.3088,369.796,12.225,,,,,,,,
2026-08-07T21:01:52+09:00,checkpoint,3.0,48,,,,,,,,,,,,,,,,
2026-08-07T21:01:57+09:00,log,3.75,60,,,,,,,,,2.9686336517333984,5.659524440765381,0.00014000000000000001,,,,,
2026-08-07T21:02:00+09:00,log,4.0,64,0.6491682529449463,0.7086776859504132,0.6635754814746412,0.664113399559647,0.6986519607843137,1.2993,372.498,12.314,,,,,,,,
2026-08-07T21:02:01+09:00,checkpoint,4.0,64,,,,,,,,,,,,,,,,
2026-08-07T21:02:08+09:00,log,5.0,80,,,,,,,,,2.3087425231933594,5.186625957489014,6.6666666666666675e-06,,,,,
2026-08-07T21:02:09+09:00,log,5.0,80,0.6095051169395447,0.7169421487603306,0.6809001419105182,0.6721192315309962,0.713630174291939,1.3171,367.471,12.148,,,,,,,,
2026-08-07T21:02:09+09:00,checkpoint,5.0,80,,,,,,,,,,,,,,,,
2026-08-07T21:02:09+09:00,log,5.0,80,,,,,,,,,,,,45.4189,112.728,1.761,150846211301184.0,3.3331539154052736
